Protein,WT,WT,AT5G27240,AT5G27240,AT3G04980,AT3G04980
AT3G05420,0,0,0,0,1,1
AT3G06530,0,0,0,0,3,2
AT3G06580,0,0,0,0,4,0
AT3G06850,0,0,0,0,2,1
AT3G07370,0,0,0,0,1,1
AT3G08770,0,1,0,0,2,0
AT3G09230,0,0,0,0,1,0
AT3G09980,0,0,0,0,2,3
AT3G10270,0,0,0,0,3,4
AT3G10690,0,2,0,3,31,28
AT3G12050,0,0,0,0,1,1
AT3G12130,0,1,0,0,1,0
AT3G12700,0,0,0,0,2,0
AT3G12915,0,0,0,0,0,1
AT3G13120,0,0,0,0,2,2
AT3G13460,0,1,0,1,1,0
AT3G13990,0,3,0,1,2,2
AT3G14160,0,1,0,0,0,0
AT3G14420,0,1,0,0,1,0
AT3G16810,0,1,0,1,1,0
AT3G16980,0,0,0,0,1,1
AT3G17170,0,2,0,0,4,5
AT3G17940,0,0,0,0,3,0
AT3G18060,0,0,0,2,3,0
AT3G18090,0,0,0,0,2,3
AT3G18580,0,1,0,0,1,0
AT3G18600,0,1,0,2,0,0
AT3G18990,0,0,0,0,9,11
AT3G19020,0,0,0,0,3,0
AT3G19170,0,0,0,0,4,0
AT3G19820,0,0,0,0,1,1
AT3G20540,0,0,0,0,3,1
AT3G21540,0,0,0,0,2,1
AT3G22300,0,1,0,0,1,1
AT3G22520,0,0,0,0,1,2
AT3G22660,0,0,0,0,0,1
AT3G23830,0,0,0,0,1,0
AT3G25800,0,0,0,0,1,1
AT3G26520,0,0,0,0,0,1
AT3G42790,0,0,0,0,0,1
AT3G44750,0,0,0,0,3,2
AT3G48560,0,0,0,0,4,1
AT3G49680,0,0,0,0,6,0
AT3G52500,0,0,0,3,0,0
AT3G53870,0,2,0,0,4,4
AT3G54090,0,0,0,0,7,8
AT3G54470,0,0,0,0,2,0
AT3G54760,0,0,0,0,4,2
AT3G56860,0,0,0,0,2,0
AT3G57150,0,1,0,7,4,2
AT3G57250,0,1,0,0,1,1
AT3G57810,0,0,0,0,1,0
AT3G58660,0,0,0,2,0,0
AT3G60360,0,0,0,0,2,0
AT3G61310,0,0,0,1,9,8
AT3G62120,0,0,0,0,0,2
